last_name, first_name,player_id,year,b_total_pa,on_base_plus_slg,woba,xwoba,exit_velocity_avg,barrel_batted_rate,hard_hit_percent,
Merrifield, Whit,593160,2021,442,.722,.311,.301,87.2,3.2,28.7,
Bogaerts, Xander,593428,2021,400,.885,.377,.350,89,9,40.6,
Polanco, Jorge,593871,2021,401,.783,.337,.338,89.1,8.3,38.1,
Sano, Miguel,593934,2021,302,.737,.317,.305,92.5,16.9,53.8,
Duvall, Adam,594807,2021,339,.755,.319,.317,90.3,14.6,43.9,
Eaton, Adam,594809,2021,258,.619,.278,.276,87.2,4.2,36.3,
Profar, Jurickson,595777,2021,309,.656,.300,.310,85.4,2.8,29.8,
Baez, Javier,595879,2021,361,.774,.328,.306,90.8,13,46.9,
Lindor, Francisco,596019,2021,360,.699,.310,.330,90.4,7,42.8,
Story, Trevor,596115,2021,371,.736,.318,.330,90.9,9.3,40.3,
Sanchez, Gary,596142,2021,303,.795,.341,.354,90.5,15.5,44.8,
Kepler, Max,596146,2021,286,.749,.320,.343,91,11.9,45.6,
Franco, Maikel,596748,2021,331,.639,.277,.283,87.9,5.8,32.3,
Bradley Jr., Jackie,598265,2021,328,.546,.244,.268,90,5.5,41.3,
Severino, Pedro,600474,2021,255,.654,.289,.305,88.4,4.8,36.7,
Candelario, Jeimer,600869,2021,402,.769,.338,.337,89.3,7.5,39.2,
Daza, Yonathan,602074,2021,264,.734,.320,.298,85.8,2.5,27.5,
Ahmed, Nick,605113,2021,317,.601,.267,.242,87.5,1.4,28.3,
Bell, Josh,605137,2021,321,.768,.327,.342,92.5,9.3,52.4,
Betts, Mookie,605141,2021,374,.876,.374,.354,90.5,7,43.8,
Caratini, Victor,605170,2021,256,.669,.291,.305,90.7,8.1,43.8,
Tapia, Raimel,606132,2021,400,.725,.316,.285,86.5,2.2,34.8,
Hernandez, Teoscar,606192,2021,339,.837,.358,.361,92,13.9,47.8,
Mercedes, Yermin,606213,2021,262,.732,.319,.312,87.3,7.2,29.2,
Turner, Trea,607208,2021,420,.890,.381,.358,89.3,7.3,46.3,
Stallings, Jacob,607732,2021,276,.724,.316,.305,87.8,6.8,34.9,
Ramirez, Jose,608070,2021,373,.868,.362,.378,91,11.2,46.4,
